CS_ID,District,Upazila,union,lon,lat,Shelter Name (English),DRRO Capacity,go_code,area,latitude,longitude,male_pop,female_pop,literacy_rate
cs_10,cox's bazar,teknaf,sabrang,92.33217983,20.76067105,sahaporirdip dakkin para center,1000.0,47,16486,20.8182,92.3069,29126,29232,16.9
cs_11,cox's bazar,teknaf,sabrang,92.32611478,20.77289673,sahaporirdip uttar para sahaporirdip dakkin para center,1000.0,47,16486,20.8182,92.3069,29126,29232,16.9
cs_12,cox's bazar,teknaf,nhilla,92.21129736,21.09107803,unchiprang primary school,2500.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_13,cox's bazar,teknaf,baharchhara,92.16357052,21.05427232,uttar silkhali cyclone center,1500.0,15,3783,21.0611,92.1526,14481,14324,22.6
cs_139,cox's bazar,teknaf,whykong,92.12150339,21.10286484,cheptakhali kab'bin madrasha,2500.0,79,31582,21.0998,92.1674,31582,25567,28.0
cs_14,cox's bazar,teknaf,nhilla,92.23423345,21.02820123,ali akbar para govt.primary school,2500.0,31,17125,21.0148,92.2453,17125,23536,28.5
cs_147,cox's bazar,teknaf,whykong,92.11222531,21.11000955,matherbonia cheptakhali costal high school,850.0,79,31582,21.0998,92.1674,31582,25567,28.0
cs_15,cox's bazar,teknaf,sabrang,92.29624816,20.82488438,ali dail red cresent cyclone shelter,700.0,47,16486,20.8182,92.3069,29126,29232,16.9
cs_157,cox's bazar,teknaf,sabrang,92.32105355,20.80760688,noapara (south) cyclone shelter,500.0,47,16486,20.8182,92.3069,29126,29232,16.9
cs_16,cox's bazar,teknaf,baharchhara,92.16245,21.05528333,baharchora talimul koran dakil madrasa,1500.0,15,3783,21.0611,92.1526,14481,14324,22.6
cs_17,cox's bazar,teknaf,sabrang,92.28923086,20.83823315,chandoli para red cresent cyclone shelter,700.0,47,16486,20.8182,92.3069,29126,29232,16.9
cs_18,cox's bazar,teknaf,baharchhara,92.20786667,20.95533333,dakkin borodail govt. primary school,500.0,15,3783,21.0611,92.1526,14481,14324,22.6
cs_19,cox's bazar,teknaf,whykong,92.17718333,21.03778333,dakkin shilkhali govt. primary school,1500.0,79,31582,21.0998,92.1674,31582,25567,28.0
cs_2,cox's bazar,teknaf,teknaf,92.19933134,20.98497447,borodail (matha bhaga) govt. primary school,2000.0,63,25018,20.8667,92.3,24076,23632,31.1
cs_20,cox's bazar,teknaf,sabrang,92.31964391,20.7686947,dangar para red cresent govt. primary school,700.0,47,16486,20.8182,92.3069,29126,29232,16.9
cs_21,cox's bazar,teknaf,teknaf,92.248113,20.89543,habir chora govt.primary school,600.0,63,25018,20.8667,92.3,24076,23632,31.1
cs_22,cox's bazar,teknaf,teknaf,92.25826667,20.884,hamidia govt. primary school,2500.0,63,25018,20.8667,92.3,24076,23632,31.1
cs_23,cox's bazar,teknaf,sabrang,92.31481667,20.80048333,hariakhali govt.primary school,1400.0,47,16486,20.8182,92.3069,29126,29232,16.9
cs_24,cox's bazar,teknaf,whykong,92.19569769,21.11575227,hoyaikong govt. primary school,500.0,79,31582,21.0998,92.1674,31582,25567,28.0
cs_25,cox's bazar,teknaf,baharchhara,92.19155308,21.00305151,hozam para govt.primary school,1000.0,15,3783,21.0611,92.1526,14481,14324,22.6
