lat_center,lon_center,lat_bin,lon_bin,grid_id,geometry,union,landcover,elev,slope,total_pop,pop_cell,dist_to_coast_km,hazard_score,hazard_class
20.74718155,92.3302555739789,9,44,9_44,POINT (92.3302555739789 20.74718155),sabrang,0,-32768.0,-32768.0,58358,1211,0.24291598635699496,0.8045596089973986,1
20.74718155,92.3386512627544,9,45,9_45,POINT (92.3386512627544 20.74718155),sabrang,0,-32768.0,-32768.0,58358,5689,0.08792987098103566,0.919176894277436,1
20.75617455,92.3218598852034,10,43,10_43,POINT (92.3218598852034 20.75617455),sabrang,0,-32768.0,-32768.0,58358,210,0.3038531025913942,0.7669575644775555,1
20.75617455,92.3302555739789,10,44,10_44,POINT (92.3302555739789 20.75617455),sabrang,0,-32768.0,-32768.0,58358,29,1.0007734336873326,0.4998067163242198,2
20.75617455,92.3386512627544,10,45,10_45,POINT (92.3386512627544 20.75617455),sabrang,0,-32768.0,-32768.0,58358,3244,0.19827617333336353,0.8345321573224651,1
20.76516755,92.31346419642792,11,42,11_42,POINT (92.31346419642792 20.76516755),sabrang,0,-32768.0,-32768.0,58358,4,0.2638030119451488,0.7912625548034393,1
20.76516755,92.3218598852034,11,43,11_43,POINT (92.3218598852034 20.76516755),sabrang,0,-32768.0,-32768.0,58358,9457,0.9909786698221446,0.5022655516893763,2
20.76516755,92.3302555739789,11,44,11_44,POINT (92.3302555739789 20.76516755),sabrang,0,-32768.0,-32768.0,58358,285,0.8662111394335618,0.5358450492925056,2
20.77416055,92.31346419642792,12,42,12_42,POINT (92.31346419642792 20.77416055),sabrang,0,-32768.0,-32768.0,58358,799,0.7712322170714739,0.5645787098731658,2
20.77416055,92.3218598852034,12,43,12_43,POINT (92.3218598852034 20.77416055),sabrang,0,-32768.0,-32768.0,58358,1611,1.5724233941002936,0.38873849549550943,3
20.77416055,92.3302555739789,12,44,12_44,POINT (92.3302555739789 20.77416055),sabrang,0,-32768.0,-32768.0,58358,3390,0.6956783717976055,0.5897344783255624,2
20.78315355,92.30506850765244,13,41,13_41,POINT (92.30506850765244 20.78315355),sabrang,0,-32768.0,-32768.0,58358,737,0.425505520001778,0.7015055262632395,1
20.78315355,92.31346419642792,13,42,13_42,POINT (92.31346419642792 20.78315355),sabrang,0,-32768.0,-32768.0,58358,1796,1.2345216330282798,0.4475230784160165,2
20.78315355,92.3218598852034,13,43,13_43,POINT (92.3218598852034 20.78315355),sabrang,0,-32768.0,-32768.0,58358,344,1.5083384250298555,0.39867028707982155,3
20.78315355,92.3302555739789,13,44,13_44,POINT (92.3302555739789 20.78315355),sabrang,0,-32768.0,-32768.0,58358,730,0.5884498327194021,0.6295445908342067,2
20.79214655,92.30506850765244,14,41,14_41,POINT (92.30506850765244 20.79214655),sabrang,0,-32768.0,-32768.0,58358,8,0.7060856566142416,0.5861370419024087,2
